Twinned,Orientation,Strain_level,Grain_size,Triple_points,Near_edge,T_SF1,T_SF2,T_SF3,T_SF4,T_SF5,T_SF6,S_SF1,S_SF2,S_SF3,Neighbor_grain_n,Max_B-b_m,Min_B-b_m,Mean_B-b_m,Max_B-t_m,Min_B-t_m,Mean_B-t_m,Max_Gbmisang,Min_Gbmisang,Mean_Gbmisang,Max_deltaGs,Min_deltaGs,Mean_deltaGs,Max_deltaBSF,Min_deltaBSF,Mean_deltaBSF
0,0,0.06,2.57 ,2,0,0.4649 ,0.4648 ,0.4534 ,0.4533 ,0.4252 ,0.4250 ,0.2524 ,0.1270 ,0.1255 ,2,0.8958 ,0.5962 ,0.7460 ,0.6966 ,0.0384 ,0.3461 ,26.39 ,18.33 ,22.36 ,56.24 ,28.01 ,42.13 ,0.1152 ,-0.0257 ,0.0447 
1,0,0.06,12.79 ,6,0,0.4453 ,0.4441 ,0.4264 ,0.4237 ,0.4161 ,0.3768 ,0.2661 ,0.2596 ,0.0065 ,6,0.9611 ,0.0078 ,0.6154 ,0.6815 ,0.0108 ,0.3342 ,34.35 ,14.75 ,24.13 ,9.17 ,-7.46 ,-2.66 ,0.1102 ,-0.1668 ,-0.0284 
1,0,0.06,36.95 ,7,1,0.4917 ,0.4916 ,0.4899 ,0.4870 ,0.4797 ,0.4733 ,0.1277 ,0.0952 ,0.0325 ,8,0.9426 ,0.0551 ,0.7556 ,0.8288 ,0.0586 ,0.3488 ,34.14 ,14.09 ,26.51 ,-6.37 ,-30.25 ,-21.07 ,0.2696 ,-0.0237 ,0.1128 
0,0,0.06,1.76 ,2,0,0.4164 ,0.4068 ,0.3858 ,0.3623 ,0.3495 ,0.3165 ,0.3669 ,0.2475 ,0.1194 ,2,0.9001 ,0.7843 ,0.8422 ,0.6623 ,0.1038 ,0.3457 ,34.04 ,25.13 ,29.59 ,57.05 ,19.15 ,38.10 ,-0.0768 ,-0.1402 ,-0.1085 
0,0,0.06,5.33 ,2,1,0.4492 ,0.4401 ,0.4346 ,0.4189 ,0.4060 ,0.3812 ,0.2959 ,0.2094 ,0.0866 ,3,0.9611 ,0.0634 ,0.6162 ,0.8082 ,0.0177 ,0.3286 ,36.55 ,15.93 ,26.14 ,16.63 ,4.05 ,9.38 ,-0.0298 ,-0.0360 ,-0.0324 
0,0,0.06,9.59 ,6,0,0.3851 ,0.3783 ,0.3321 ,0.3105 ,0.2887 ,0.2602 ,0.4183 ,0.2552 ,0.1632 ,6,0.9630 ,0.0044 ,0.7223 ,0.9197 ,0.0116 ,0.3429 ,43.74 ,15.39 ,25.67 ,4.23 ,-5.73 ,0.29 ,0.0279 ,-0.3040 ,-0.1391 
0,0,0.06,6.40 ,6,0,0.4011 ,0.3891 ,0.3674 ,0.3346 ,0.3301 ,0.2853 ,0.3869 ,0.2742 ,0.1127 ,6,0.9630 ,0.0745 ,0.7032 ,0.8812 ,0.0104 ,0.3359 ,38.44 ,15.39 ,27.62 ,15.56 ,-2.54 ,3.79 ,0.0314 ,-0.2726 ,-0.1441 
0,0,0.06,2.56 ,1,1,0.3536 ,0.3405 ,0.2980 ,0.2551 ,0.2501 ,0.1940 ,0.4424 ,0.3088 ,0.1335 ,2,0.9223 ,0.7291 ,0.8257 ,0.6931 ,0.0614 ,0.3303 ,36.49 ,20.43 ,28.46 ,12.66 ,9.03 ,10.84 ,-0.0954 ,-0.1106 ,-0.1030 
1,0,0.06,15.21 ,5,1,0.4370 ,0.4340 ,0.4101 ,0.4041 ,0.3745 ,0.3655 ,0.3317 ,0.1857 ,0.1460 ,6,0.8916 ,0.0397 ,0.6663 ,0.7550 ,0.0335 ,0.3231 ,82.33 ,19.76 ,35.08 ,12.62 ,-12.66 ,-1.64 ,0.1387 ,-0.1461 ,0.0482 
0,0,0.06,4.29 ,5,0,0.4841 ,0.4840 ,0.4825 ,0.4824 ,0.4635 ,0.4633 ,0.1701 ,0.0858 ,0.0843 ,5,0.9169 ,0.0529 ,0.6526 ,0.8202 ,0.0098 ,0.3423 ,32.59 ,10.74 ,23.38 ,17.67 ,0.93 ,8.42 ,0.2168 ,-0.0558 ,0.0793 
1,0,0.06,41.01 ,4,1,0.4645 ,0.4576 ,0.4543 ,0.4446 ,0.4351 ,0.4118 ,0.2472 ,0.1918 ,0.0554 ,5,0.9080 ,0.0140 ,0.3688 ,0.9457 ,0.0031 ,0.3302 ,80.35 ,18.27 ,42.23 ,4.76 ,-20.86 ,-10.25 ,0.0869 ,-0.2050 ,-0.0220 
1,0,0.06,11.77 ,9,0,0.4934 ,0.4933 ,0.4920 ,0.4880 ,0.4833 ,0.4765 ,0.1143 ,0.0926 ,0.0217 ,9,0.9046 ,0.0490 ,0.6224 ,0.8956 ,0.0204 ,0.3555 ,34.70 ,24.14 ,28.59 ,6.43 ,-9.78 ,-4.44 ,0.3582 ,0.0558 ,0.2265 
1,0,0.06,8.75 ,3,0,0.4692 ,0.4666 ,0.4600 ,0.4569 ,0.4345 ,0.4287 ,0.2401 ,0.1374 ,0.1027 ,3,0.9673 ,0.9112 ,0.9445 ,0.6320 ,0.0114 ,0.3405 ,23.45 ,12.21 ,17.62 ,28.19 ,11.95 ,18.13 ,-0.0315 ,-0.1361 ,-0.0933 
0,0,0.06,22.84 ,9,0,-0.0495 ,-0.0599 ,-0.1396 ,-0.1552 ,-0.4371 ,-0.4631 ,0.1856 ,0.1628 ,0.0228 ,8,0.2001 ,0.0091 ,0.0523 ,0.8248 ,0.0089 ,0.2569 ,86.51 ,64.56 ,80.52 ,22.93 ,-18.05 ,0.05 ,0.2907 ,-0.1435 ,0.1429 
0,0,0.06,5.49 ,2,0,0.4214 ,0.4150 ,0.3887 ,0.3735 ,0.3514 ,0.3297 ,0.3623 ,0.2240 ,0.1383 ,2,0.2184 ,0.0228 ,0.1206 ,0.6525 ,0.0088 ,0.3019 ,82.34 ,26.30 ,54.32 ,40.27 ,17.34 ,28.81 ,-0.1767 ,-0.3201 ,-0.2484 
0,0,0.06,2.67 ,4,0,0.3273 ,0.3201 ,0.2398 ,0.2085 ,0.1906 ,0.1519 ,0.4725 ,0.2848 ,0.1877 ,4,0.9638 ,0.2027 ,0.5503 ,0.8673 ,0.0052 ,0.3168 ,45.46 ,15.40 ,30.94 ,11.07 ,-0.68 ,6.81 ,-0.0262 ,-0.3582 ,-0.2143 
0,0,0.06,1.99 ,4,0,0.4401 ,0.4390 ,0.4143 ,0.4121 ,0.3786 ,0.3753 ,0.3237 ,0.1692 ,0.1545 ,4,0.9531 ,0.0490 ,0.4785 ,0.9057 ,0.0127 ,0.3352 ,45.46 ,17.61 ,33.63 ,16.21 ,0.68 ,8.77 ,0.1488 ,-0.2094 ,-0.0658 
